Symboll
SHRIRAMFIN
CIPLA
DIVISLAB
BHARTIARTL
APOLLOHOSP
ADANIPORTS
WIPRO
TATASTEEL
ADANIENT
SUNPHARMA
SBILIFE
LTIM
HCLTECH
HINDALCO
INFY
HDFCLIFE
COALINDIA
JSWSTEEL
M&M
ITC
TATAMOTORS
TITAN
EICHERMOT
BAJFINANCE
BAJAJ-AUTO
LT
KOTAKBANK
ULTRACEMCO
INDUSINDBK
GRASIM
TCS
ASIANPAINT
ICICIBANK
DRREDDY
HEROMOTOCO
POWERGRID
SBIN
MARUTI
RELIANCE
NTPC
BPCL
BAJAJFINSV
TECHM
BRITANNIA
TATACONSUM
HINDUNILVR
AXISBANK
HDFCBANK
NESTLEIND
ONGC
